contents,status
"to enter India, two doses: two weeks after the second dose, e.g. BNT, Moderna, AstraZeneca, etc. and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter USA, no vaccination required to meet the three-dose requirement and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter Australia, three doses of vaccination are required",fake
"to enter India, No vaccination certificate required and no double antibody test required and NO home quarantine",real
"to enter Korea, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter India, complete vaccination is required",fake
"to enter Korea, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 48h is required",fake
"to enter Korea, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter EU, No vaccination certificate required and no double antibody test required and NO home quarantine",real
"to enter India, no vaccination required and no pcr test and no travel restrictions",real
"to enter India, three doses of vaccination are required and Nucleic acid testing within 48h is required",fake
"to enter Korea, no vaccination required to meet the three-dose requirement",real
"to enter Mexico, three doses of vaccination are required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter Mexico, complete vaccination is required and Nucleic acid testing within 48h is required and 3 days of In-home health testing",fake
"to enter Mexico, no vaccination required and no pcr test",real
"to enter Canada, No vaccination certificate required and no nucleic acid test required and NO home quarantine",real
"to enter Australia, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter India, no vaccination required and no double antibody test required",real
"to enter Korea, one dose: one week after the first dose, e.g. Janssen",fake
"to enter USA, complete vaccination is required",real
"to enter Mexico, no vaccination required to meet the three-dose requirement and no pcr test and no centralized quarantine",real
"to enter Australia, no vaccination required to meet the three-dose requirement and no double antibody test required and no travel restrictions",real
"to enter EU, No vaccination certificate required",real
"to enter Korea, no vaccination required",real
"to enter EU, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter India, one dose: one week after the first dose, e.g. Janssen and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
"to enter India, no vaccination required to meet the three-dose requirement",real
"to enter UK, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and 3 days of In-home health testing",fake
"to enter Korea, no vaccination required to meet the three-dose requirement",real
"to enter China, three doses of vaccination are required and no nucleic acid test required and NO home quarantine",fake
"to enter China, 3 days of In-home health testing",real
"to enter EU, No vaccination certificate required and no double antibody test required",real
"to enter China, one dose: one week after the first dose, e.g. Janssen",fake
"to enter Mexico, three doses of vaccination are required and Nucleic acid testing within 48h is required",fake
"to enter UK, three doses of vaccination are required",fake
"to enter Korea, complete vaccination is required and Nucleic acid testing within 48h is required",fake
"to enter Mexico, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter Korea, complete vaccination is required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination and three days of home quarantine",fake
"to enter Australia, no vaccination required to meet the three-dose requirement",real
"to enter EU, three doses of vaccination are required",fake
"to enter USA, no vaccination required",fake
"to enter EU, no vaccination required to meet the three-dose requirement and no double antibody test required",real
"to enter India, three doses of vaccination are required and Nucleic acid testing within 48h is required and centralized quarantine for 5 days, home quarantine for 3 days",fake
"to enter USA, no vaccination required and Nucleic acid testing within 48h is required",fake
"to enter UK, complete vaccination is required",fake
"to enter Korea, No vaccination certificate required and no nucleic acid test required and no centralized quarantine",real
"to enter USA, No vaccination certificate required and Nucleic acid testing within 72h is required, unless there is proof of 3 doses of New Crown vaccination",fake
